customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;SampleWeight
"9237-HQITU";"Female";0;"No";"No";2;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";70,700000;151,650000;"Yes";1,000000
"3638-WEABW";"Female";0;"Yes";"No";58;"Yes";"Yes";"DSL";"No";"Yes";"No";"Yes";"No";"No";"Two year";"Yes";"Credit card (automatic)";59,900000;3505,100000;"No";2,768325
"8665-UTDHZ";"Male";0;"Yes";"Yes";1;"No";"No phone service";"DSL";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";30,200000;30,200000;"Yes";1,000000
"8773-HHUOZ";"Female";0;"No";"Yes";17;"Yes";"No";"DSL";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Mailed check";64,700000;1093,100000;"Yes";1,000000
"4080-IIARD";"Female";0;"Yes";"No";13;"Yes";"Yes";"DSL";"Yes";"Yes";"No";"Yes";"Yes";"No";"Month-to-month";"Yes";"Electronic check";76,200000;981,450000;"No";2,768325
"6575-SUVOI";"Female";1;"Yes";"No";25;"Yes";"Yes";"DSL";"Yes";"No";"No";"Yes";"Yes";"No";"Month-to-month";"Yes";"Credit card (automatic)";69,500000;1752,650000;"No";2,768325
"7495-OOKFY";"Female";1;"Yes";"No";8;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";80,650000;633,300000;"Yes";1,000000
"0731-EBJQB";"Female";0;"Yes";"Yes";52;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Electronic check";20,400000;1090,650000;"No";2,768325
"1891-QRQSA";"Male";1;"Yes";"Yes";64;"Yes";"Yes";"Fiber optic";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";111,600000;7099,000000;"No";2,768325
"5919-TMRGD";"Female";0;"No";"Yes";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";79,350000;79,350000;"Yes";1,000000
"2424-WVHPL";"Male";1;"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"Yes";"No";"No";"Month-to-month";"No";"Electronic check";74,700000;74,700000;"No";2,768325
"0278-YXOOG";"Male";0;"No";"No";5;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";21,050000;113,850000;"Yes";1,000000
"3679-XASPY";"Female";0;"Yes";"Yes";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Electronic check";19,450000;19,450000;"No";2,768325
"5386-THSLQ";"Female";1;"Yes";"No";66;"No";"No phone service";"DSL";"No";"Yes";"Yes";"No";"Yes";"No";"One year";"No";"Bank transfer (automatic)";45,550000;3027,250000;"No";2,768325
"9750-BOOHV";"Female";0;"No";"No";32;"No";"No phone service";"DSL";"Yes";"No";"No";"No";"No";"No";"One year";"No";"Mailed check";30,150000;927,650000;"No";2,768325
"3071-VBYPO";"Male";0;"Yes";"Yes";3;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"No";"Yes";"No";"Month-to-month";"No";"Electronic check";89,850000;248,400000;"No";2,768325
"0404-SWRVG";"Male";0;"No";"No";3;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";74,400000;229,550000;"Yes";1,000000
"6497-TILVL";"Female";0;"Yes";"Yes";7;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";50,700000;350,350000;"No";2,768325
"4412-YLTKF";"Female";1;"No";"No";27;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";78,050000;2135,500000;"Yes";1,000000
"2372-HWUHI";"Male";0;"No";"No";2;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";44,350000;81,250000;"Yes";1,000000
"5716-EZXZN";"Female";0;"Yes";"Yes";65;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"No";"Yes";"Yes";"No";"Two year";"Yes";"Credit card (automatic)";99,050000;6416,700000;"No";2,768325
"2135-RXIHG";"Male";0;"No";"No";1;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";45,650000;45,650000;"Yes";1,000000
"3466-BYAVD";"Male";0;"Yes";"Yes";15;"Yes";"No";"DSL";"No";"Yes";"Yes";"Yes";"No";"Yes";"Month-to-month";"Yes";"Mailed check";69,500000;1071,400000;"No";2,768325
"3874-EQOEP";"Male";0;"No";"No";7;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"No";"Mailed check";95,000000;655,500000;"Yes";1,000000
"1679-JRFBR";"Female";0;"Yes";"Yes";70;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";108,150000;7930,550000;"No";2,768325
"3376-BMGFE";"Female";0;"No";"No";4;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";70,900000;273,000000;"Yes";1,000000
"6727-IOTLZ";"Male";0;"Yes";"No";14;"Yes";"No";"DSL";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Mailed check";81,950000;1181,750000;"No";2,768325
"5947-SGKCL";"Female";0;"Yes";"Yes";15;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";105,350000;1559,250000;"No";2,768325
"9367-WXLCH";"Male";0;"No";"No";8;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"No";"Bank transfer (automatic)";84,500000;662,650000;"Yes";1,000000
"4827-USJHP";"Male";0;"No";"No";20;"Yes";"No";"DSL";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";51,800000;1023,850000;"No";2,768325
"9178-JHUVJ";"Male";0;"Yes";"Yes";24;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Bank transfer (automatic)";24,100000;587,400000;"No";2,768325
"7841-TZDMQ";"Male";0;"No";"No";2;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";46,000000;84,500000;"Yes";1,000000
"0699-NDKJM";"Female";0;"Yes";"No";57;"No";"No phone service";"DSL";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";58,750000;3437,450000;"No";2,768325
"9408-SSNVZ";"Female";0;"No";"No";4;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";70,150000;268,350000;"Yes";1,000000
